,currentstate,action,reward,nextstate,terminated
0,current_0_0.png,RIGHT,0,next_0_0.png,False
1,current_0_1.png,RIGHT,0,next_0_1.png,False
2,current_0_2.png,RIGHT,0,next_0_2.png,False
3,current_0_3.png,RIGHT,0,next_0_3.png,False
4,current_0_4.png,RIGHT,-1,next_0_4.png,True
5,current_0_0.png,RIGHT,0,next_0_0.png,False
6,current_0_1.png,RIGHT,0,next_0_1.png,False
7,current_0_2.png,RIGHT,0,next_0_2.png,False
8,current_0_3.png,RIGHT,0,next_0_3.png,False
9,current_0_4.png,RIGHT,-1,next_0_4.png,True
10,current_1_0.png,RIGHT,0,next_1_0.png,False
11,current_1_1.png,RIGHT,0,next_1_1.png,False
12,current_1_2.png,RIGHT,0,next_1_2.png,False
13,current_1_3.png,RIGHT,0,next_1_3.png,False
14,current_1_4.png,DOWN,0,next_1_4.png,False
15,current_1_5.png,DOWN,0,next_1_5.png,False
16,current_1_6.png,DOWN,0,next_1_6.png,False
17,current_1_7.png,DOWN,0,next_1_7.png,False
18,current_1_8.png,LEFT,0,next_1_8.png,False
19,current_1_9.png,LEFT,0,next_1_9.png,False
20,current_1_10.png,LEFT,0,next_1_10.png,False
21,current_1_11.png,LEFT,0,next_1_11.png,False
22,current_1_12.png,LEFT,0,next_1_12.png,False
23,current_1_13.png,LEFT,0,next_1_13.png,False
24,current_1_14.png,LEFT,0,next_1_14.png,False
25,current_1_15.png,LEFT,0,next_1_15.png,False
26,current_1_16.png,DOWN,0,next_1_16.png,False
27,current_1_17.png,DOWN,0,next_1_17.png,False
28,current_1_18.png,DOWN,0,next_1_18.png,False
29,current_1_19.png,DOWN,0,next_1_19.png,False
30,current_1_20.png,RIGHT,10,next_1_20.png,False
31,current_1_21.png,RIGHT,0,next_1_21.png,False
32,current_1_22.png,RIGHT,0,next_1_22.png,False
33,current_1_23.png,RIGHT,0,next_1_23.png,False
34,current_1_24.png,UP,0,next_1_24.png,False
35,current_1_25.png,UP,0,next_1_25.png,False
36,current_1_26.png,UP,0,next_1_26.png,False
37,current_1_27.png,UP,0,next_1_27.png,False
38,current_1_28.png,UP,0,next_1_28.png,False
39,current_1_29.png,UP,0,next_1_29.png,False
40,current_1_30.png,UP,0,next_1_30.png,False
41,current_1_31.png,UP,0,next_1_31.png,False
42,current_1_32.png,RIGHT,0,next_1_32.png,False
43,current_1_33.png,UP,10,next_1_33.png,False
44,current_1_34.png,UP,0,next_1_34.png,False
45,current_1_35.png,UP,0,next_1_35.png,False
46,current_1_36.png,UP,0,next_1_36.png,False
47,current_1_37.png,LEFT,0,next_1_37.png,False
48,current_1_38.png,LEFT,0,next_1_38.png,False
49,current_1_39.png,LEFT,0,next_1_39.png,False
50,current_1_40.png,LEFT,0,next_1_40.png,False
51,current_1_41.png,LEFT,0,next_1_41.png,False
52,current_1_42.png,LEFT,0,next_1_42.png,False
53,current_1_43.png,LEFT,0,next_1_43.png,False
54,current_1_44.png,LEFT,0,next_1_44.png,False
55,current_1_45.png,LEFT,0,next_1_45.png,False
56,current_1_46.png,DOWN,0,next_1_46.png,False
57,current_1_47.png,DOWN,0,next_1_47.png,False
58,current_1_48.png,DOWN,0,next_1_48.png,False
59,current_1_49.png,DOWN,0,next_1_49.png,False
60,current_1_50.png,DOWN,0,next_1_50.png,False
61,current_1_51.png,DOWN,0,next_1_51.png,False
62,current_1_52.png,DOWN,0,next_1_52.png,False
63,current_1_53.png,DOWN,0,next_1_53.png,False
64,current_1_54.png,DOWN,0,next_1_54.png,False
65,current_1_55.png,DOWN,0,next_1_55.png,False
66,current_1_56.png,DOWN,0,next_1_56.png,False
67,current_1_57.png,LEFT,0,next_1_57.png,False
68,current_1_58.png,DOWN,10,next_1_58.png,False
69,current_1_59.png,DOWN,0,next_1_59.png,False
70,current_1_60.png,RIGHT,0,next_1_60.png,False
71,current_1_61.png,RIGHT,0,next_1_61.png,False
72,current_1_62.png,RIGHT,0,next_1_62.png,False
73,current_1_63.png,RIGHT,0,next_1_63.png,False
74,current_1_64.png,RIGHT,0,next_1_64.png,False
75,current_1_65.png,RIGHT,0,next_1_65.png,False
76,current_1_66.png,RIGHT,0,next_1_66.png,False
77,current_1_67.png,RIGHT,0,next_1_67.png,False
78,current_1_68.png,RIGHT,0,next_1_68.png,False
79,current_1_69.png,RIGHT,0,next_1_69.png,False
80,current_1_70.png,RIGHT,0,next_1_70.png,False
81,current_1_71.png,UP,0,next_1_71.png,False
82,current_1_72.png,UP,0,next_1_72.png,False
83,current_1_73.png,UP,0,next_1_73.png,False
84,current_1_74.png,UP,0,next_1_74.png,False
85,current_1_75.png,UP,0,next_1_75.png,False
86,current_1_76.png,UP,0,next_1_76.png,False
87,current_1_77.png,UP,0,next_1_77.png,False
88,current_1_78.png,UP,0,next_1_78.png,False
89,current_1_79.png,UP,0,next_1_79.png,False
90,current_1_80.png,LEFT,0,next_1_80.png,False
91,current_1_81.png,LEFT,0,next_1_81.png,False
92,current_1_82.png,LEFT,0,next_1_82.png,False
93,current_1_83.png,LEFT,0,next_1_83.png,False
94,current_1_84.png,LEFT,0,next_1_84.png,False
95,current_1_85.png,LEFT,0,next_1_85.png,False
96,current_1_86.png,LEFT,0,next_1_86.png,False
97,current_1_87.png,UP,0,next_1_87.png,False
98,current_1_88.png,RIGHT,0,next_1_88.png,False
99,current_1_89.png,RIGHT,0,next_1_89.png,False
100,current_1_90.png,RIGHT,0,next_1_90.png,False
101,current_1_91.png,RIGHT,0,next_1_91.png,False
102,current_1_92.png,RIGHT,0,next_1_92.png,False
103,current_1_93.png,RIGHT,0,next_1_93.png,False
104,current_1_94.png,RIGHT,10,next_1_94.png,False
105,current_1_95.png,RIGHT,0,next_1_95.png,False
106,current_1_96.png,RIGHT,0,next_1_96.png,False
107,current_1_97.png,RIGHT,-1,next_1_97.png,True
108,current_2_0.png,RIGHT,0,next_2_0.png,False
109,current_2_1.png,RIGHT,0,next_2_1.png,False
110,current_2_2.png,RIGHT,0,next_2_2.png,False
111,current_2_3.png,RIGHT,0,next_2_3.png,False
112,current_2_4.png,RIGHT,-1,next_2_4.png,True
113,current_3_0.png,RIGHT,0,next_3_0.png,False
114,current_3_1.png,RIGHT,0,next_3_1.png,False
115,current_3_2.png,RIGHT,0,next_3_2.png,False
116,current_3_3.png,RIGHT,0,next_3_3.png,False
117,current_3_4.png,RIGHT,-1,next_3_4.png,True
118,current_4_0.png,RIGHT,0,next_4_0.png,False
119,current_4_1.png,RIGHT,0,next_4_1.png,False
120,current_4_2.png,RIGHT,0,next_4_2.png,False
121,current_4_3.png,RIGHT,0,next_4_3.png,False
122,current_4_4.png,RIGHT,-1,next_4_4.png,True
123,current_5_0.png,RIGHT,0,next_5_0.png,False
124,current_5_1.png,RIGHT,0,next_5_1.png,False
125,current_5_2.png,RIGHT,0,next_5_2.png,False
126,current_5_3.png,RIGHT,0,next_5_3.png,False
127,current_5_4.png,RIGHT,-1,next_5_4.png,True
128,current_6_0.png,RIGHT,0,next_6_0.png,False
129,current_6_1.png,RIGHT,0,next_6_1.png,False
130,current_6_2.png,RIGHT,0,next_6_2.png,False
131,current_6_3.png,RIGHT,0,next_6_3.png,False
132,current_6_4.png,RIGHT,-1,next_6_4.png,True
133,current_7_0.png,RIGHT,0,next_7_0.png,False
134,current_7_1.png,RIGHT,0,next_7_1.png,False
135,current_7_2.png,RIGHT,0,next_7_2.png,False
136,current_7_3.png,RIGHT,0,next_7_3.png,False
137,current_7_4.png,RIGHT,-1,next_7_4.png,True
138,current_0_0.png,RIGHT,0,next_0_0.png,False
139,current_0_1.png,RIGHT,0,next_0_1.png,False
140,current_0_2.png,RIGHT,0,next_0_2.png,False
141,current_0_3.png,RIGHT,0,next_0_3.png,False
142,current_0_4.png,RIGHT,-1,next_0_4.png,True
143,current_0_0.png,RIGHT,0,next_0_0.png,False
144,current_0_1.png,RIGHT,0,next_0_1.png,False
145,current_0_2.png,RIGHT,0,next_0_2.png,False
146,current_0_3.png,RIGHT,0,next_0_3.png,False
147,current_0_4.png,RIGHT,-1,next_0_4.png,True
148,current_1_0.png,RIGHT,0,next_1_0.png,False
149,current_1_1.png,RIGHT,0,next_1_1.png,False
150,current_1_2.png,RIGHT,0,next_1_2.png,False
151,current_1_3.png,RIGHT,0,next_1_3.png,False
152,current_1_4.png,RIGHT,-1,next_1_4.png,True
153,current_2_0.png,RIGHT,0,next_2_0.png,False
154,current_2_1.png,RIGHT,0,next_2_1.png,False
155,current_2_2.png,RIGHT,0,next_2_2.png,False
156,current_2_3.png,RIGHT,0,next_2_3.png,False
157,current_2_4.png,RIGHT,-1,next_2_4.png,True
158,current_3_0.png,RIGHT,0,next_3_0.png,False
159,current_3_1.png,RIGHT,0,next_3_1.png,False
160,current_3_2.png,RIGHT,0,next_3_2.png,False
161,current_3_3.png,RIGHT,0,next_3_3.png,False
162,current_3_4.png,RIGHT,-1,next_3_4.png,True
163,current_4_0.png,RIGHT,0,next_4_0.png,False
164,current_4_1.png,RIGHT,0,next_4_1.png,False
165,current_4_2.png,RIGHT,0,next_4_2.png,False
166,current_4_3.png,RIGHT,0,next_4_3.png,False
167,current_4_4.png,RIGHT,-1,next_4_4.png,True
168,current_5_0.png,RIGHT,0,next_5_0.png,False
169,current_5_1.png,RIGHT,0,next_5_1.png,False
170,current_5_2.png,RIGHT,0,next_5_2.png,False
171,current_5_3.png,RIGHT,0,next_5_3.png,False
172,current_5_4.png,RIGHT,-1,next_5_4.png,True
173,current_6_0.png,RIGHT,0,next_6_0.png,False
174,current_6_1.png,RIGHT,0,next_6_1.png,False
175,current_6_2.png,RIGHT,0,next_6_2.png,False
176,current_6_3.png,RIGHT,0,next_6_3.png,False
177,current_6_4.png,RIGHT,-1,next_6_4.png,True
178,current_7_0.png,RIGHT,0,next_7_0.png,False
179,current_7_1.png,RIGHT,0,next_7_1.png,False
180,current_7_2.png,RIGHT,0,next_7_2.png,False
181,current_7_3.png,RIGHT,0,next_7_3.png,False
182,current_7_4.png,RIGHT,-1,next_7_4.png,True
183,current_0_0.png,RIGHT,0,next_0_0.png,False
184,current_0_1.png,RIGHT,0,next_0_1.png,False
185,current_0_2.png,RIGHT,0,next_0_2.png,False
186,current_0_3.png,RIGHT,0,next_0_3.png,False
187,current_0_4.png,RIGHT,-1,next_0_4.png,True
188,current_1_0.png,RIGHT,0,next_1_0.png,False
189,current_1_1.png,RIGHT,0,next_1_1.png,False
190,current_1_2.png,RIGHT,0,next_1_2.png,False
191,current_1_3.png,RIGHT,0,next_1_3.png,False
192,current_1_4.png,RIGHT,-1,next_1_4.png,True
193,current_2_0.png,RIGHT,0,next_2_0.png,False
194,current_2_1.png,RIGHT,0,next_2_1.png,False
195,current_2_2.png,RIGHT,0,next_2_2.png,False
196,current_2_3.png,RIGHT,0,next_2_3.png,False
197,current_2_4.png,DOWN,0,next_2_4.png,False
198,current_2_5.png,DOWN,0,next_2_5.png,False
199,current_2_6.png,DOWN,0,next_2_6.png,False
200,current_2_7.png,DOWN,0,next_2_7.png,False
201,current_2_8.png,DOWN,0,next_2_8.png,False
202,current_2_9.png,LEFT,0,next_2_9.png,False
203,current_2_10.png,LEFT,0,next_2_10.png,False
204,current_2_11.png,LEFT,0,next_2_11.png,False
205,current_2_12.png,LEFT,0,next_2_12.png,False
206,current_2_13.png,LEFT,0,next_2_13.png,False
207,current_2_14.png,LEFT,0,next_2_14.png,False
208,current_2_15.png,UP,0,next_2_15.png,False
209,current_2_16.png,UP,0,next_2_16.png,False
210,current_2_17.png,UP,0,next_2_17.png,False
211,current_2_18.png,UP,0,next_2_18.png,False
212,current_2_19.png,UP,0,next_2_19.png,False
213,current_2_20.png,UP,0,next_2_20.png,False
214,current_2_21.png,UP,0,next_2_21.png,False
215,current_2_22.png,RIGHT,0,next_2_22.png,False
216,current_2_23.png,RIGHT,0,next_2_23.png,False
217,current_2_24.png,RIGHT,0,next_2_24.png,False
218,current_2_25.png,DOWN,0,next_2_25.png,False
219,current_2_26.png,DOWN,0,next_2_26.png,False
